Date,Open,High,Low,Close,Adj Close,Volume
2017-04-18,8800.000000,8850.000000,8700.000000,8750.000000,8273.324219,6144700
2017-04-19,8750.000000,8750.000000,8750.000000,8750.000000,8273.324219,0
2017-04-20,8700.000000,8750.000000,8650.000000,8675.000000,8202.410156,10498700
2017-04-21,8750.000000,8825.000000,8675.000000,8700.000000,8226.047852,4680600
2017-04-25,8825.000000,8975.000000,8800.000000,8975.000000,8486.066406,7833400
2017-04-26,9000.000000,9025.000000,8925.000000,9000.000000,8509.704102,3866400
2017-04-27,8975.000000,9000.000000,8825.000000,8825.000000,8344.238281,6331900
2017-04-28,8825.000000,8875.000000,8775.000000,8825.000000,8344.238281,8087800
2017-05-02,8775.000000,8825.000000,8750.000000,8800.000000,8320.600586,3387500
2017-05-03,8700.000000,8800.000000,8675.000000,8725.000000,8249.685547,5746800
2017-05-04,8650.000000,8725.000000,8600.000000,8650.000000,8178.771973,6673000
2017-05-05,8725.000000,8800.000000,8650.000000,8800.000000,8320.600586,10267700
2017-05-08,8850.000000,8875.000000,8675.000000,8750.000000,8273.324219,11668000
2017-05-09,8700.000000,8775.000000,8700.000000,8750.000000,8273.324219,4704400
2017-05-10,8650.000000,8800.000000,8600.000000,8650.000000,8178.771973,3991000
2017-05-12,8725.000000,8875.000000,8650.000000,8850.000000,8367.876953,7514800
2017-05-15,8850.000000,8900.000000,8750.000000,8900.000000,8415.152344,6550700
2017-05-16,8900.000000,9225.000000,8875.000000,9200.000000,8698.809570,13316400
2017-05-17,9200.000000,9200.000000,9050.000000,9100.000000,8604.255859,5157500
2017-05-18,8975.000000,9200.000000,8925.000000,9200.000000,8698.809570,4625400
2017-05-19,9225.000000,9325.000000,9125.000000,9200.000000,8698.809570,8155000
2017-05-22,9250.000000,9425.000000,9250.000000,9400.000000,8887.913086,10302500
2017-05-23,9450.000000,9500.000000,9275.000000,9350.000000,8840.637695,4151100
2017-05-24,9225.000000,9275.000000,9125.000000,9250.000000,8746.085938,3350200
2017-05-26,9250.000000,9325.000000,9175.000000,9250.000000,8746.085938,4385900
2017-05-29,9325.000000,9400.000000,9250.000000,9350.000000,8840.637695,1887000
2017-05-30,9375.000000,9375.000000,9200.000000,9200.000000,8698.809570,1744100
2017-05-31,9200.000000,9450.000000,9200.000000,9450.000000,8935.190430,7087000
2017-06-01,9450.000000,9450.000000,9450.000000,9450.000000,8935.190430,0
2017-06-02,9450.000000,9450.000000,9250.000000,9325.000000,8817.000000,4694700
2017-06-05,9375.000000,9375.000000,9150.000000,9300.000000,8793.362305,4204800
2017-06-06,9300.000000,9325.000000,9200.000000,9300.000000,8793.362305,3275900
2017-06-07,9350.000000,9400.000000,9200.000000,9200.000000,8698.809570,1348300
2017-06-08,9175.000000,9250.000000,9025.000000,9025.000000,8533.341797,2516700
2017-06-09,9050.000000,9500.000000,9050.000000,9375.000000,8864.275391,11265100
2017-06-12,9450.000000,9675.000000,9375.000000,9650.000000,9124.294922,9444100
2017-06-13,9650.000000,9750.000000,9525.000000,9675.000000,9147.932617,5108000
2017-06-14,9675.000000,9850.000000,9650.000000,9850.000000,9313.399414,9337900
2017-06-15,9900.000000,10100.000000,9850.000000,10075.000000,9526.141602,11153900
2017-06-16,10000.000000,10075.000000,9800.000000,9850.000000,9313.399414,10284400
2017-06-19,9975.000000,10150.000000,9850.000000,10150.000000,9597.056641,4938600
2017-06-20,10200.000000,10250.000000,10025.000000,10200.000000,9644.331055,9933300
2017-06-21,10150.000000,10200.000000,9975.000000,10200.000000,9644.331055,8026300
2017-06-22,10150.000000,10150.000000,9950.000000,10000.000000,9455.227539,6963600
2017-06-23,10000.000000,10000.000000,10000.000000,10000.000000,9455.227539,0
2017-06-26,10000.000000,10000.000000,10000.000000,10000.000000,9455.227539,0
2017-06-27,10000.000000,10000.000000,10000.000000,10000.000000,9455.227539,0
2017-06-28,10000.000000,10000.000000,10000.000000,10000.000000,9455.227539,0
2017-06-29,10000.000000,10000.000000,10000.000000,10000.000000,9455.227539,0
2017-06-30,10000.000000,10000.000000,10000.000000,10000.000000,9455.227539,0
2017-07-03,10050.000000,10275.000000,10000.000000,10200.000000,9644.331055,14663400
2017-07-04,10200.000000,10275.000000,10100.000000,10150.000000,9597.056641,6299500
2017-07-05,10050.000000,10200.000000,9900.000000,9950.000000,9407.952148,5857000
2017-07-06,10000.000000,10125.000000,9975.000000,10125.000000,9573.417969,6609600
2017-07-07,10150.000000,10325.000000,10050.000000,10200.000000,9644.331055,6256100
