Date,Open,High,Low,Close,Adj Close,Volume
5/24/2017,8600,8800,8600,8800,7318.65625,13258200
5/26/2017,8725,8800,8650,8750,7277.072266,10230300
5/29/2017,8800,8850,8700,8850,7360.23877,2667300
5/30/2017,8900,8925,8750,8775,7297.864258,9242600
5/31/2017,8775,8775,8650,8750,7277.072266,13099200
6/1/2017,8750,8750,8750,8750,7277.072266,0
6/2/2017,8850,8850,8700,8825,7339.446777,7398200
6/5/2017,8875,8900,8800,8875,7381.030273,4884500
6/6/2017,8925,8950,8875,8875,7381.030273,7211900
6/7/2017,8875,8950,8875,8925,7422.613281,3348100
6/8/2017,8925,8950,8550,8600,7152.322266,44088100
6/9/2017,8600,8600,8450,8500,7069.155762,27551100
6/12/2017,8400,8500,8325,8475,7248.771484,11935200
6/13/2017,8475,8550,8450,8475,7248.771484,14432200
6/14/2017,8500,8550,8425,8550,7312.919922,20291100
6/15/2017,8550,8550,8475,8500,7270.154297,16345000
6/16/2017,8500,8525,8325,8325,7120.474609,16091100
6/19/2017,8400,8425,8300,8325,7120.474609,11059000
6/20/2017,8375,8525,8350,8500,7270.154297,9129900
6/21/2017,8450,8550,8400,8500,7270.154297,7901700
6/22/2017,8450,8625,8450,8600,7355.685547,13105900
6/23/2017,8600,8600,8600,8600,7355.685547,0
6/26/2017,8600,8600,8600,8600,7355.685547,0
6/27/2017,8600,8600,8600,8600,7355.685547,0
6/28/2017,8600,8600,8600,8600,7355.685547,0
6/29/2017,8600,8600,8600,8600,7355.685547,0
6/30/2017,8600,8600,8600,8600,7355.685547,0
7/3/2017,8650,8775,8600,8775,7505.365723,13126900
7/4/2017,8700,8750,8675,8750,7483.982422,11112700
7/5/2017,8750,8750,8550,8750,7483.982422,8292900
7/6/2017,8750,8750,8650,8750,7483.982422,4677100
7/7/2017,8750,8750,8625,8750,7483.982422,7710200
7/10/2017,8750,8750,8575,8600,7355.685547,4228200
7/11/2017,8675,8675,8550,8675,7419.833984,5029200
7/12/2017,8650,8700,8550,8700,7441.217285,7133400
7/13/2017,8750,8800,8700,8750,7483.982422,9377600
7/14/2017,8750,8800,8650,8775,7505.365723,4365900
7/17/2017,8800,8800,8650,8775,7505.365723,4656000
7/18/2017,8775,8775,8675,8775,7505.365723,3183700
7/19/2017,8750,8750,8625,8675,7419.833984,5206000
7/20/2017,8675,8775,8675,8775,7505.365723,2737900
7/21/2017,8800,8800,8500,8575,7334.303223,7429900
7/24/2017,8500,8725,8475,8725,7462.599609,4864600
7/25/2017,8725,8725,8575,8725,7462.599609,6022900
7/26/2017,8625,8725,8550,8625,7377.067871,4887700
7/27/2017,8675,8675,8525,8600,7355.685547,4113200
7/28/2017,8500,8625,8450,8600,7355.685547,7315500
7/31/2017,8500,8600,8250,8375,7163.240234,12752100
8/1/2017,8400,8450,8225,8300,7099.091797,9058200
8/2/2017,8300,8350,8250,8300,7099.091797,4753300
8/3/2017,8300,8350,8225,8250,7056.326172,6708500
8/4/2017,8225,8325,8175,8225,7034.942871,6600200
8/7/2017,8250,8350,8150,8200,7013.560059,6799900
8/8/2017,8200,8400,8200,8400,7184.623047,4036400
8/9/2017,8325,8400,8200,8400,7184.623047,7303600
8/10/2017,8450,8475,8275,8450,7227.38916,3290400
8/11/2017,8425,8425,8225,8250,7056.326172,6379900
