Date,Open,High,Low,Close,Adj Close,Volume
2017-02-23,8540.000000,8540.000000,8435.000000,8450.000000,7467.047852,3569000
2017-02-24,8420.000000,8510.000000,8415.000000,8450.000000,7467.047852,3763500
2017-02-27,8460.000000,8565.000000,8425.000000,8450.000000,7467.047852,4240500
2017-02-28,8520.000000,8520.000000,8425.000000,8435.000000,7453.792969,8622500
2017-03-01,8420.000000,8470.000000,8380.000000,8435.000000,7453.792969,7570000
2017-03-02,8495.000000,8505.000000,8420.000000,8420.000000,7440.537109,5019500
2017-03-03,8420.000000,8430.000000,8365.000000,8395.000000,7418.445801,6217500
2017-03-06,8395.000000,8480.000000,8395.000000,8475.000000,7489.140625,4533500
2017-03-07,8475.000000,8500.000000,8425.000000,8495.000000,7506.813965,3158000
2017-03-08,8470.000000,8495.000000,8460.000000,8485.000000,7497.976563,5689000
2017-03-09,8485.000000,8485.000000,8400.000000,8485.000000,7497.976563,3264000
2017-03-10,8500.000000,8500.000000,8370.000000,8460.000000,7475.885254,4783500
2017-03-13,8410.000000,8480.000000,8410.000000,8480.000000,7493.559082,2544000
2017-03-14,8480.000000,8510.000000,8440.000000,8440.000000,7458.211914,2946000
2017-03-15,8445.000000,8480.000000,8375.000000,8435.000000,7453.792969,4130000
2017-03-16,8445.000000,8720.000000,8435.000000,8720.000000,7705.640137,7009000
2017-03-17,8720.000000,8840.000000,8600.000000,8800.000000,7776.333496,25389000
2017-03-20,8780.000000,8800.000000,8680.000000,8785.000000,7763.079590,7018000
2017-03-21,8785.000000,8795.000000,8695.000000,8785.000000,7763.079590,11059000
2017-03-22,8685.000000,8685.000000,8505.000000,8570.000000,7573.089844,17937000
2017-03-23,8570.000000,8640.000000,8500.000000,8500.000000,7511.231934,6258500
2017-03-24,8440.000000,8630.000000,8440.000000,8630.000000,7626.108398,5829000
2017-03-27,8670.000000,8700.000000,8620.000000,8670.000000,7661.456543,4163500
2017-03-29,8670.000000,8800.000000,8670.000000,8730.000000,7714.477051,10144500
2017-03-30,8740.000000,8760.000000,8550.000000,8740.000000,7723.312500,5878000
2017-03-31,8680.000000,8700.000000,8595.000000,8665.000000,7657.039063,11354500
2017-04-03,8680.000000,8795.000000,8680.000000,8775.000000,7754.241211,14857500
