Date,Open,High,Low,Close,Adj Close,Volume
5/10/2017,8625,8675,8575,8600,7589.204102,43704700
5/12/2017,8675,8750,8650,8675,7655.389648,30361100
5/15/2017,8700,8700,8525,8700,7677.450195,30796400
5/16/2017,8700,8750,8600,8600,7589.204102,25436100
5/17/2017,8675,8675,8325,8350,7368.586914,48442000
5/18/2017,8350,8500,8325,8500,7500.956543,53502800
5/19/2017,8525,9000,8450,8750,7721.573242,52777500
5/22/2017,8825,8950,8700,8775,7743.634766,50711500
5/23/2017,8700,8800,8650,8700,7677.450195,40611000
5/24/2017,8575,8725,8550,8725,7699.510742,28548100
5/26/2017,8725,8775,8675,8750,7721.573242,21515800
5/29/2017,8725,8750,8625,8700,7677.450195,17837200
5/30/2017,8625,8725,8625,8675,7655.389648,18482400
5/31/2017,8625,8750,8625,8750,7721.573242,40011500
6/1/2017,8750,8750,8750,8750,7721.573242,0
6/2/2017,8750,9000,8725,9000,7942.189453,34516200
6/5/2017,9000,9050,8925,9000,7942.189453,26482300
6/6/2017,8975,9025,8825,8875,7831.881836,31668900
6/7/2017,8950,8950,8850,8900,7853.944336,13672900
6/8/2017,8850,8900,8825,8825,7787.759766,12097300
6/9/2017,8750,8750,8650,8650,7633.327148,20044400
6/12/2017,8675,8850,8675,8725,7699.510742,12909000
6/13/2017,8725,8825,8725,8800,7765.697266,16459600
6/14/2017,8850,9150,8775,9150,8074.560547,21545600
6/15/2017,8900,8925,8850,8900,7853.944336,23078400
6/16/2017,8900,8925,8725,8725,7699.510742,53399700
6/19/2017,8725,8800,8725,8725,7699.510742,19307300
6/20/2017,8725,8975,8700,8950,7898.065918,37530000
6/21/2017,8725,9025,8725,8900,7853.944336,45981300
6/22/2017,8950,8975,8750,8925,7876.005859,45673700
6/23/2017,8925,8925,8925,8925,7876.005859,0
6/26/2017,8925,8925,8925,8925,7876.005859,0
6/27/2017,8925,8925,8925,8925,7876.005859,0
6/28/2017,8925,8925,8925,8925,7876.005859,0
6/29/2017,8925,8925,8925,8925,7876.005859,0
6/30/2017,8925,8925,8925,8925,7876.005859,0
7/3/2017,8950,9025,8725,8775,7743.634766,60820600
7/4/2017,8825,8825,8700,8775,7743.634766,27327700
7/5/2017,8800,8825,8750,8800,7765.697266,49131100
7/6/2017,8750,8825,8750,8800,7765.697266,33107000
7/7/2017,8800,8850,8725,8775,7743.634766,31017800
7/10/2017,8775,8825,8725,8775,7743.634766,27066400
7/11/2017,8775,8800,8700,8725,7699.510742,28895800
7/12/2017,8700,8750,8650,8725,7699.510742,36580200
7/13/2017,8800,8800,8700,8725,7699.510742,65107500
7/14/2017,8750,8750,8700,8725,7699.510742,34370300
7/17/2017,8725,8750,8675,8725,7699.510742,20377100
7/18/2017,8700,8725,8650,8675,7655.389648,26018200
7/19/2017,8675,8675,8450,8475,7478.89502,86130500
7/20/2017,8500,8550,8475,8550,7545.080078,22992700
7/21/2017,8525,8525,8200,8200,7236.217773,46991000
7/24/2017,8200,8225,8000,8225,7258.279297,61331300
7/25/2017,8250,8250,8050,8100,7147.97168,71959500
7/26/2017,8200,8200,8050,8100,7147.97168,42348400
7/27/2017,8050,8150,8050,8075,7125.90918,33556800
7/28/2017,8075,8075,7900,7950,7015.601074,96029800
7/31/2017,7925,8100,7900,7975,7037.662598,57540900
8/1/2017,7975,7975,7800,7850,6927.354492,75196300
8/2/2017,7825,7900,7725,7825,6905.292969,61600300
8/3/2017,7825,7825,7725,7775,6861.169922,39479300
8/4/2017,7750,7800,7650,7775,6861.169922,62576700
8/7/2017,7800,7950,7775,7900,6971.478027,58213100
8/8/2017,7925,8000,7900,8000,7059.724609,49160800
8/9/2017,8000,8000,7900,8000,7059.724609,30630400
8/10/2017,7975,8000,7850,7925,6993.539063,32682600
8/11/2017,7900,7900,7725,7775,6861.169922,40834900
8/14/2017,7800,7925,7775,7850,6927.354492,27663800
8/15/2017,7875,7900,7800,7825,6905.292969,25118000
8/16/2017,7800,7875,7775,7850,6927.354492,23947900
8/17/2017,7850,7850,7850,7850,6927.354492,0
8/18/2017,7825,7975,7800,7900,6971.478027,69231100
8/21/2017,7900,7950,7775,7875,6949.416992,39339900
8/22/2017,7825,7950,7825,7925,6993.539063,21229100
8/23/2017,7975,8000,7900,7975,7037.662598,22579300
8/24/2017,7900,8050,7900,7975,7037.662598,33232300
